"KoordID";"x";"y";"occ"
"443";773166;773000;166000;1
"444";773182;773000;182000;1
"445";773198;773000;198000;1
"446";779142;779000;142000;1
"447";779158;779000;158000;1
"448";779174;779000;174000;1
"449";779190;779000;190000;1
"450";779206;779000;206000;1
"451";785150;785000;150000;1
"452";785166;785000;166000;1
"453";785182;785000;182000;1
"454";785198;785000;198000;1
"455";791142;791000;142000;1
"456";791158;791000;158000;1
"457";791174;791000;174000;0
"458";791190;791000;190000;1
"459";797134;797000;134000;1
"460";797142;797000;142000;1
"461";797150;797000;150000;1
"462";797166;797000;166000;0
"463";797182;797000;182000;1
"464";803126;803000;126000;1
"465";803134;803000;134000;0
"466";803142;803000;142000;1
"467";803174;803000;174000;0
"468";803190;803000;190000;0
"469";809126;809000;126000;1
"470";809182;809000;182000;0
"471";815174;815000;174000;0
"472";815190;815000;190000;1
"473";821166;821000;166000;1
"474";821182;821000;182000;0
"475";827190;827000;190000;0
"476";833166;833000;166000;1
